User Query,Predefined Query
What is the precipitation sum from day 2 to day 30?,precipitation sum from day 2 to day 30
What is the average temperature from day 11 to day 24?,average temperature from day 11 to day 24
What is the average temperature from day 29 to day 30?,average temperature from day 29 to day 30
What is the average temperature from day 12 to day 17?,average temperature from day 12 to day 17
What is the max temperature from day 18 to day 21?,max temperature from day 18 to day 21
What is the average temperature from day 22 to day 25?,average temperature from day 22 to day 25
What is the max temperature from day 3 to day 26?,max temperature from day 3 to day 26
What is the min temperature from day 25 to day 26?,min temperature from day 25 to day 26
What is the precipitation sum from day 13 to day 25?,precipitation sum from day 13 to day 25
What is the precipitation sum from day 4 to day 6?,precipitation sum from day 4 to day 6
What was the max wind speed on 2024-04-26?,max wind speed on 2024-04-26
What is the min temperature from day 7 to day 11?,min temperature from day 7 to day 11
What is the max temperature from day 1 to day 15?,max temperature from day 1 to day 15
What is the precipitation sum from day 29 to day 30?,precipitation sum from day 29 to day 30
What is the precipitation sum from day 28 to day 30?,precipitation sum from day 28 to day 30
What is the min temperature from day 2 to day 8?,min temperature from day 2 to day 8
What is the max temperature from day 22 to day 30?,max temperature from day 22 to day 30
What is the precipitation sum from day 27 to day 30?,precipitation sum from day 27 to day 30
What is the max temperature from day 22 to day 27?,max temperature from day 22 to day 27
What is the average temperature from day 6 to day 21?,average temperature from day 6 to day 21
What is the average temperature from day 11 to day 25?,average temperature from day 11 to day 25
What is the max temperature from day 13 to day 30?,max temperature from day 13 to day 30
What is the max temperature from day 7 to day 18?,max temperature from day 7 to day 18
What is the max temperature from day 6 to day 17?,max temperature from day 6 to day 17
What is the average temperature from day 9 to day 23?,average temperature from day 9 to day 23
